35000;1;11
35000;2;11
35000;3;11
35000;4;11
35000;5;11
35000;6;11
35000;7;11
35000;8;11
35000;9;11
35000;10;11
35000;11;11
35000;12;11
35000;13;11
35000;14;11
35000;15;11
35000;16;11
35000;17;11
35000;18;11
35000;19;11
35000;20;11
35000;21;11
35000;22;11
35000;23;11
35000;24;11
35000;25;11
35000;26;11
35000;27;11
35000;28;11
35000;29;11
35000;30;11
35000;31;11
35000;32;11
35000;33;11
35000;34;11
35000;35;11
35000;36;11
35000;37;11
35000;38;11
35000;39;11
35000;40;11
35000;41;11
35000;42;11
35000;43;11
35000;44;11
35000;45;11
35000;46;11
35000;47;11
35000;48;11
35000;49;11
35000;50;11
35000;51;11
35000;52;11
35000;53;11
35000;54;11
35000;55;11
35000;56;11
35000;57;11
35000;58;11
35000;59;11
35000;60;11
35000;61;11
35000;62;11
35000;63;11
35000;64;11
35000;65;11
35000;66;11
35000;67;11
35000;68;11
35000;69;11
35000;70;11
35000;71;11
35000;72;11
35000;73;11
35000;74;11
35000;75;11
35000;76;11
35000;77;11
35000;80;11
35000;81;11
35000;101;10
35000;110;91
35000;111;91
35000;112;91
35000;113;91
35000;114;91
35000;115;91
35000;116;91
35000;117;91
35000;118;91
35000;119;91
35000;120;91
35000;121;91
35000;122;91
35000;123;91
35000;124;91
35000;125;91
35000;126;91
35000;127;91
35000;128;91
35000;129;91
35000;130;91
35000;131;91
35000;132;91
35000;133;91
35000;134;91
35000;135;91
35000;136;91
35000;137;91
35000;138;91
35000;139;91
35000;140;91
35000;141;91
35000;142;91
35000;143;91
35000;144;91
35000;145;91
35000;150;12
35000;151;12
35000;152;12
35000;153;12
35000;154;12
35000;155;12
35000;156;12
35000;157;12
35000;158;12
35000;159;12
35000;160;12
35000;161;12
35000;162;12
35000;163;12
35000;164;12
35000;165;12
35000;166;12
35000;167;12
35000;168;12
35000;169;12
35000;170;12
35000;171;12
35000;172;12
35000;173;12
35000;174;12
35000;175;12
35000;176;12
35000;177;12
35000;178;12
35000;179;12
35000;180;12
35000;181;12
35000;182;12
35000;183;12
35000;184;12
35000;185;12
35000;186;12
35000;187;12
35000;188;12
35000;189;12
35000;190;12
35000;191;12
35000;192;12
35000;193;12
35000;194;12
35000;195;12
35000;196;12
35000;197;12
35000;198;12
35000;199;12
35000;200;20
35000;201;20
35000;202;20
35000;203;20
35000;210;21
35000;211;21
35000;215;22
35000;220;23
35000;230;24
35000;231;25
35000;232;26
35000;235;27
35000;236;27
35000;240;28
35000;241;28
35000;242;28
